persona,model,affiliative,aggressive,selfdefeating,selfenhancing
base,llama3.1:8b,3.37 (± 1.36),3.24 (± 1.48),2.80 (± 1.21),3.14 (± 1.44)
base,mistral:7b,3.33 (± 1.12),3.54 (± 1.48),3.44 (± 1.45),3.59 (± 1.41)
base,qwen2.5:7b,2.99 (± 1.02),2.36 (± 1.17),2.73 (± 1.20),2.35 (± 0.84)
base,llama3.3:70b,3.63 (± 1.15),2.78 (± 1.26),3.43 (± 0.92),3.02 (± 1.02)
base,mistral-large:123b,3.15 (± 1.19),2.83 (± 1.17),2.71 (± 1.11),2.83 (± 1.12)
base,qwen2.5:72b,2.96 (± 1.36),2.16 (± 1.04),2.63 (± 1.41),1.70 (± 1.03)
