persona,model,affiliative,aggressive,selfdefeating,selfenhancing
base,llama3.1:8b,3.56 (± 1.31),3.63 (± 1.44),3.22 (± 1.38),3.06 (± 1.31)
base,mistral:7b,3.86 (± 1.36),3.80 (± 1.39),3.62 (± 1.28),3.05 (± 1.38)
base,qwen2.5:7b,2.88 (± 1.23),3.24 (± 1.06),3.00 (± 0.70),2.23 (± 0.89)
base,llama3.3:70b,3.32 (± 1.38),2.30 (± 1.16),2.96 (± 0.96),1.81 (± 1.04)
base,mistral-large:123b,2.71 (± 1.23),2.82 (± 1.27),2.77 (± 1.06),2.32 (± 0.98)
base,qwen2.5:72b,3.48 (± 1.10),3.41 (± 1.11),3.78 (± 0.86),2.20 (± 0.83)
