persona,model,agreeableness,conscientiousness,extraversion,neuroticism,openness
base,llama3.1:8b,3.13 (± 1.20),3.53 (± 1.14),3.13 (± 1.01),2.95 (± 0.80),3.60 (± 0.98)
base,mistral:7b,3.18 (± 1.38),3.65 (± 1.32),3.57 (± 0.83),3.17 (± 1.08),3.73 (± 0.95)
base,qwen2.5:7b,3.08 (± 1.16),3.46 (± 0.92),3.31 (± 0.56),3.11 (± 0.88),3.35 (± 0.73)
base,llama3.3:70b,3.41 (± 1.65),3.51 (± 1.51),3.67 (± 1.17),3.21 (± 1.09),3.72 (± 1.29)
base,mistral-large:123b,3.22 (± 1.35),3.53 (± 1.11),3.67 (± 0.92),3.61 (± 0.99),3.51 (± 1.12)
base,qwen2.5:72b,2.97 (± 1.63),3.37 (± 1.30),3.31 (± 0.63),3.12 (± 0.45),3.30 (± 1.21)
