persona,model,affiliative,aggressive,selfdefeating,selfenhancing
base,llama3.1:8b,3.28 (± 1.16),3.80 (± 1.24),3.57 (± 1.05),4.00 (± 0.96)
base,mistral:7b,2.91 (± 1.15),3.22 (± 1.46),3.29 (± 0.96),3.16 (± 0.55)
base,qwen2.5:7b,3.12 (± 0.72),3.43 (± 0.91),3.01 (± 0.42),3.62 (± 0.51)
base,llama3.3:70b,2.90 (± 1.01),3.51 (± 1.21),3.76 (± 0.64),3.85 (± 0.76)
base,mistral-large:123b,3.26 (± 0.99),3.05 (± 1.10),3.18 (± 0.76),3.22 (± 0.59)
base,qwen2.5:72b,2.55 (± 1.12),3.20 (± 0.94),3.07 (± 0.49),3.77 (± 0.47)
