persona,model,affiliative,aggressive,selfdefeating,selfenhancing
base,llama3.1:8b,2.95 (± 1.43),3.58 (± 1.41),3.40 (± 1.39),3.63 (± 1.34)
base,mistral:7b,3.37 (± 1.48),3.66 (± 1.36),3.50 (± 1.24),3.87 (± 1.16)
base,qwen2.5:7b,2.72 (± 1.28),3.02 (± 1.29),3.02 (± 0.91),4.03 (± 1.05)
base,llama3.3:70b,2.82 (± 1.53),3.52 (± 1.46),3.05 (± 0.97),3.56 (± 1.33)
base,mistral-large:123b,3.14 (± 1.04),2.98 (± 1.24),3.04 (± 1.05),3.36 (± 0.94)
base,qwen2.5:72b,2.29 (± 1.44),2.58 (± 1.41),2.40 (± 0.96),3.68 (± 1.07)
