persona,model,agreeableness,conscientiousness,extraversion,neuroticism,openness
base,llama3.1:8b,3.08 (± 1.74),3.50 (± 1.61),3.24 (± 1.52),3.37 (± 1.23),3.31 (± 1.48)
base,mistral:7b,3.37 (± 1.38),3.48 (± 1.40),3.33 (± 1.34),3.51 (± 1.25),3.38 (± 1.21)
base,qwen2.5:7b,2.37 (± 1.80),2.57 (± 1.75),2.99 (± 1.48),1.81 (± 1.51),2.10 (± 1.64)
base,llama3.3:70b,3.02 (± 1.60),3.25 (± 1.33),3.36 (± 1.15),3.92 (± 1.05),3.33 (± 1.29)
base,mistral-large:123b,2.92 (± 1.43),3.16 (± 1.37),3.31 (± 1.24),3.58 (± 1.17),3.08 (± 1.34)
base,qwen2.5:72b,2.50 (± 1.81),2.44 (± 1.70),2.52 (± 1.37),3.74 (± 1.50),2.20 (± 1.56)
