persona,model,agreeableness,conscientiousness,extraversion,neuroticism,openness
base,llama3.1:8b,3.45 (± 1.53),3.61 (± 1.55),3.15 (± 1.45),2.93 (± 1.36),3.29 (± 1.39)
base,mistral:7b,3.50 (± 1.46),3.62 (± 1.39),3.63 (± 1.22),3.56 (± 1.08),3.56 (± 1.29)
base,qwen2.5:7b,3.38 (± 1.86),3.26 (± 1.83),2.82 (± 1.59),2.48 (± 1.79),3.32 (± 1.76)
base,llama3.3:70b,3.79 (± 1.66),3.25 (± 1.48),3.72 (± 1.35),3.87 (± 0.91),3.82 (± 1.26)
base,mistral-large:123b,3.42 (± 1.25),3.45 (± 1.20),3.56 (± 1.11),3.57 (± 1.10),3.48 (± 1.23)
base,qwen2.5:72b,3.08 (± 1.72),3.25 (± 1.85),2.72 (± 1.38),3.18 (± 1.31),3.50 (± 1.74)
